Theme,English,English meaning,Francais
Adjectifs de registre soutenu,disheartening,causing loss of confidence,"décourageant, démoralisant"
Adjectifs de registre soutenu,dishevelled,untidy in appearance,"échevelé, débraillé"
Adjectifs de registre soutenu,disillusioned,disappointed after losing false beliefs,"désabusé, désillusionné"
Adjectifs de registre soutenu,disingenuous,insincere while pretending honesty,"fallacieux, de mauvaise foi"
Adjectifs de registre soutenu,dismal,depressingly gloomy or poor,"lugubre, morne"
Adjectifs de registre soutenu,dismissive,treating as unworthy of consideration,"dédaigneux, désinvolte"
Adjectifs de registre soutenu,disparaging,expressing belittling criticism,"désobligeant, dénigrant"
Adjectifs de registre soutenu,disparate,"essentially different, not comparable",disparate
Adjectifs de registre soutenu,dispassionate,"calmly impartial, free of emotion","impartial, froid"
Adjectifs de registre soutenu,dispensable,"not essential, able to be discarded","superflu, dont on peut se passer"
Adjectifs de registre soutenu,disquieting,causing unease or worry,"inquiétant, troublant"
Adjectifs de registre soutenu,dissolute,morally loose and self-indulgent,"dissolu, débauché"
Adjectifs de registre soutenu,dissonant,"harshly clashing, inharmonious",dissonant
Adjectifs de registre soutenu,distinct,clearly separate or easily noticed,"distinct, net"
Adjectifs de registre soutenu,distinctive,characteristic and easily recognizable,"distinctif, caractéristique"
Adjectifs de registre soutenu,distinguished,eminent and highly respected,"distingué, éminent"
Adjectifs de registre soutenu,distraught,extremely upset and agitated,"éperdu, affolé"
Adjectifs de registre soutenu,divergent,"moving apart, increasingly different",divergent
Adjectifs de registre soutenu,diverse,varied in kind or character,"divers, varié"
Adjectifs de registre soutenu,divisive,causing disagreement between groups,"clivant, qui divise"
Adjectifs de registre soutenu,docile,easily managed and obedient,docile
Adjectifs de registre soutenu,dogged,stubbornly persistent despite obstacles,"tenace, opiniâtre"
Adjectifs de registre soutenu,dogmatic,asserting opinions as unquestionable truth,dogmatique
Adjectifs de registre soutenu,doleful,expressing deep sorrow,"dolent, lugubre"
Adjectifs de registre soutenu,dominant,most powerful and influential,dominant
Adjectifs de registre soutenu,dormant,temporarily inactive but able to revive,"dormant, en sommeil"
Adjectifs de registre soutenu,doting,excessively fond and indulgent,"adorateur, dévoué"
Adjectifs de registre soutenu,double-edged,having both favourable and harmful effects,à double tranchant
Adjectifs de registre soutenu,dour,"stern, gloomy and unfriendly","austère, renfrogné"
Adjectifs de registre soutenu,downcast,dejected and dispirited,"abattu, morose"
Adjectifs de registre soutenu,downtrodden,oppressed by those in power,opprimé
Adjectifs de registre soutenu,drab,dull and colourless,"terne, morne"
Adjectifs de registre soutenu,draconian,excessively harsh and severe,draconien
Adjectifs de registre soutenu,dreadful,extremely bad or frightening,"affreux, épouvantable"
Adjectifs de registre soutenu,dreary,"dull, bleak and depressing","morne, maussade"
Adjectifs de registre soutenu,droll,amusing in an odd dry way,"drôle, cocasse"
Adjectifs de registre soutenu,dubious,doubtful and possibly untrustworthy,"douteux, dubitatif"
Adjectifs de registre soutenu,dulcet,sweet and soothing to hear,"suave, mélodieux"
Adjectifs de registre soutenu,duplicitous,deceitfully saying two different things,"fourbe, duplice"
Adjectifs de registre soutenu,dutiful,conscientiously fulfilling obligations,"consciencieux, dévoué"
Adjectifs de registre soutenu,dwindling,steadily becoming smaller,"décroissant, en déclin"
Adjectifs de registre soutenu,dynamic,energetic and constantly changing,dynamique
Adjectifs de registre soutenu,eager,keen and impatient to do something,"impatient, avide"
Adjectifs de registre soutenu,earnest,serious and sincere in intention,"sérieux, sincère"
Adjectifs de registre soutenu,earthy,"coarsely natural, direct and unpretentious","truculent, terre-à-terre"
Adjectifs de registre soutenu,ebullient,cheerful and full of lively energy,"exubérant, débordant"
Adjectifs de registre soutenu,eccentric,unconventional and slightly strange in behaviour,excentrique
Adjectifs de registre soutenu,eclectic,drawn from a wide variety of sources,éclectique
Adjectifs de registre soutenu,edifying,morally or intellectually instructive,édifiant
Adjectifs de registre soutenu,eerie,strange and frighteningly mysterious,"étrange, inquiétant"
Adjectifs de registre soutenu,effeminate,showing traits conventionally regarded as womanly,efféminé
Adjectifs de registre soutenu,effervescent,"bubbly, lively and enthusiastic","effervescent, pétillant"
Adjectifs de registre soutenu,effete,"weakened, exhausted and lacking vigour","décadent, amolli"
Adjectifs de registre soutenu,efficacious,capable of producing the desired result,efficace
Adjectifs de registre soutenu,effortless,achieved with no apparent strain,"aisé, sans effort"
Adjectifs de registre soutenu,effusive,expressing feelings in an unrestrained way,"expansif, débordant"
Adjectifs de registre soutenu,egalitarian,favouring equal rights for all people,égalitaire
Adjectifs de registre soutenu,egregious,outstandingly bad or shocking,"flagrant, énorme"
Adjectifs de registre soutenu,elated,extremely happy and excited,"transporté de joie, exalté"
Adjectifs de registre soutenu,elegiac,"mournful in tone, expressing sorrow",élégiaque
Adjectifs de registre soutenu,elevated,raised to a higher level or rank,"élevé, soutenu"
Adjectifs de registre soutenu,elliptical,deliberately condensed and obscure in expression,elliptique
Adjectifs de registre soutenu,eloquent,fluent and persuasive in speech,éloquent
Adjectifs de registre soutenu,elusive,"difficult to find, catch or achieve","insaisissable, fuyant"
Adjectifs de registre soutenu,emaciated,abnormally thin from hunger or illness,"émacié, décharné"
Adjectifs de registre soutenu,embattled,beset by difficulties and hostile criticism,"assailli, en difficulté"
Adjectifs de registre soutenu,emblematic,serving as a symbol of something,emblématique
Adjectifs de registre soutenu,embryonic,at a very early stage of development,embryonnaire
Adjectifs de registre soutenu,eminent,famous and respected within a profession,éminent
Adjectifs de registre soutenu,emphatic,expressed forcefully and without doubt,"catégorique, énergique"
Adjectifs de registre soutenu,empirical,based on observation rather than theory,empirique
Adjectifs de registre soutenu,enchanting,delightfully charming and attractive,"enchanteur, ravissant"
Adjectifs de registre soutenu,endearing,inspiring affection and fondness,"attachant, touchant"
Adjectifs de registre soutenu,endemic,regularly found in a particular place,endémique
Adjectifs de registre soutenu,enduring,lasting over a long period,"durable, persistant"
Adjectifs de registre soutenu,energetic,showing great activity and vitality,énergique
Adjectifs de registre soutenu,enigmatic,mysterious and difficult to interpret,énigmatique
Adjectifs de registre soutenu,enlightened,"having rational, informed and tolerant views",éclairé
Adjectifs de registre soutenu,enormous,extremely large in size or amount,énorme
Adjectifs de registre soutenu,enthralling,"capturing attention completely, deeply fascinating","captivant, passionnant"
Adjectifs de registre soutenu,enticing,attractive and strongly tempting,"alléchant, attrayant"
Adjectifs de registre soutenu,entrenched,firmly established and hard to change,"enraciné, retranché"
Adjectifs de registre soutenu,enviable,desirable enough to arouse jealousy,enviable
Adjectifs de registre soutenu,envious,resentfully wanting what another person has,envieux
Adjectifs de registre soutenu,ephemeral,lasting for a very short time,éphémère
Adjectifs de registre soutenu,epic,"heroic, grand and impressive in scale",épique
Adjectifs de registre soutenu,epicurean,"devoted to refined pleasure, especially food",épicurien
Adjectifs de registre soutenu,equable,calm and even-tempered,"égal, serein"
Adjectifs de registre soutenu,equitable,fair and impartial to all parties,équitable
Adjectifs de registre soutenu,equivocal,ambiguous and open to several interpretations,"équivoque, ambigu"
Adjectifs de registre soutenu,erratic,irregular and unpredictable in behaviour,"erratique, irrégulier"
Adjectifs de registre soutenu,erroneous,"based on mistaken facts, incorrect",erroné
Adjectifs de registre soutenu,erudite,showing deep scholarly knowledge,érudit
Adjectifs de registre soutenu,esoteric,understood only by a small specialist group,ésotérique
Adjectifs de registre soutenu,essential,absolutely necessary and basic,essentiel
Adjectifs de registre soutenu,esteemed,"held in high regard, greatly respected","estimé, respecté"
Adjectifs de registre soutenu,estranged,no longer close or on friendly terms,"brouillé, séparé"
Adjectifs de registre soutenu,eternal,lasting forever without end,éternel
Adjectifs de registre soutenu,ethereal,"delicate and light, seemingly not earthly",éthéré
Adjectifs de registre soutenu,euphoric,feeling intense excitement and happiness,euphorique
Adjectifs de registre soutenu,evanescent,quickly fading from sight or memory,évanescent
Adjectifs de registre soutenu,evasive,avoiding direct answers or commitment,évasif
Adjectifs de registre soutenu,evocative,bringing strong images or feelings to mind,évocateur
Adjectifs de registre soutenu,exacting,"demanding great care, effort and precision","exigeant, rigoureux"
Adjectifs de registre soutenu,exalted,placed at a very high rank,"exalté, élevé"
Adjectifs de registre soutenu,exasperating,extremely irritating and frustrating,exaspérant
Adjectifs de registre soutenu,excruciating,intensely painful or almost unbearable,"atroce, insoutenable"
Adjectifs de registre soutenu,execrable,"extremely bad, of appalling quality",exécrable
Adjectifs de registre soutenu,exemplary,serving as a model worth imitating,exemplaire
Adjectifs de registre soutenu,exhaustive,"covering every possible detail, fully thorough",exhaustif
Adjectifs de registre soutenu,exhilarating,making one feel happy and invigorated,"grisant, exaltant"
Adjectifs de registre soutenu,exorbitant,unreasonably high in price or amount,exorbitant
Adjectifs de registre soutenu,exotic,"strikingly unusual, from a distant country",exotique
Adjectifs de registre soutenu,expansive,"wide-ranging, or open and communicative","expansif, étendu"
Adjectifs de registre soutenu,expedient,convenient and practical though possibly improper,"opportun, expédient"
Adjectifs de registre soutenu,expendable,able to be sacrificed without great loss,"sacrifiable, superflu"
Adjectifs de registre soutenu,explicit,stated clearly and in full detail,explicite
Adjectifs de registre soutenu,exquisite,extremely beautiful and finely crafted,"exquis, raffiné"
Adjectifs de registre soutenu,extant,"still in existence, having survived","existant, subsistant"
Adjectifs de registre soutenu,extemporaneous,"done without preparation, on the spot","improvisé, impromptu"
Adjectifs de registre soutenu,extraneous,irrelevant and not properly belonging,"étranger, superflu"
Adjectifs de registre soutenu,extravagant,spending far beyond what is reasonable,"extravagant, dispendieux"
Adjectifs de registre soutenu,exuberant,"full of lively, cheerful energy",exubérant
Adjectifs de registre soutenu,exultant,triumphantly joyful after a success,"triomphant, exultant"
Adjectifs de registre soutenu,fabled,famous in legend and popular stories,"légendaire, fabuleux"
